"ort","cc","state_name","place_type","attractiveness_score","research_score","stay","stay_confidence","entry_fee","fact","when","avoid","stay_de","fact_de","when_de","avoid_de","entry_fee_de","stay_fr","fact_fr","when_fr","avoid_fr","entry_fee_fr"
"Lisbon","US","Maine","small_town","70","2","Best option: Walmart Supercenter Bath Road – free overnight parking permitted, restrooms, 25km to town
Alternative: Cracker Barrel locations nearby
Wild camping: generally tolerated on quiet roads, low enforcement","2","","This tiny Maine town of 9,000 becomes the world's lobster capital every summer, with a festival featuring a 20-foot-tall lobster statue and lobster rolls that cost $8 vs $35 in Boston.","Jun-Sep","Oct-Apr: most seafood shacks close and temperatures drop to freezing","","","","","","","","","",""
"Helsinki","FI","Uusimaa","city","95","3","Best option: Rastila Camping – €25-35/night, metro connection, 15km to centre
Alternative: Suomenlinna ferry parking – day parking only, no overnight permitted
Wild camping: allemansrätten but extremely limited near Helsinki due to urban development","2","","The world's only church built directly into solid rock - Temppeliaukio Church - was blasted out of granite bedrock and topped with a copper dome, creating acoustics so perfect that major orchestras record here regularly.","May–Sept","Dec–Feb: only 4-6 hours of daylight, most attractions have reduced hours","","","","","","","","","",""
"Washington","US","Indiana","small_town","70","2","Best option: Walmart Supercenter – free overnight parking, basic facilities, edge of town
Alternative: Casey's or truck stops
Wild camping: tolerated on rural roads, minimal enforcement","3","","Home to the world's first electrically lighted Christmas tree display in 1888, this tiny Indiana town of 12,000 people still maintains over 300,000 Christmas lights annually and calls itself 'Christmas City.'","May–Oct","Dec–Jan: completely overrun by Christmas tourists, impossible parking","","","","","","","","","",""
"Maligne Lake","CA","Alberta","natural_park","95","3","Best option: Whistlers Campground (Jasper) – CAD $33/night, full facilities, 45km to lake
Alternative: Wapiti Campground – CAD $40/night, full hookups, 50km to lake
Wild camping: prohibited in national park, random camping requires backcountry permit","2","Parks Canada Pass required","Largest natural lake in Canadian Rockies, famous Spirit Island","June-September for boat tours, early morning for wildlife","Boat tour crowds, 1-hour drive from Jasper, expensive tours","","","","","","","","","",""
"Dune du Pilat","FR","Nouvelle-Aquitaine","beach","95","3","Best option: Aire de La Teste-de-Buch – €10/night, water/electricity, 2km from dune. Alternative: Camping Panorama – beachside but pricier. Wild camping: illegal and heavily enforced, fines €135","1","","Europe's tallest sand dune at 110m with panoramic Atlantic views and forest backdrop","May-September for warmth, avoid July-August crowds","Strong Atlantic currents, parking fees, tourist crowds in summer","","","","","","","","","",""
"Belgrade","RS","Central Serbia","city","95","3","Best option: Kamp Kosutnjak – €15/night, full hookups, 10km from center. Alternative: Auto Kamp Dunav – riverside location. Wild camping: tolerated in industrial areas but police may move you on","2","","The confluence of Danube and Sava rivers creates Europe's largest river island (Ada Ciganlija) right in the city center, complete with 7km of beaches that locals call 'Belgrade's Sea.'","Apr–Oct","Jul–Aug: river beaches packed, temperatures hit 35°C+ regularly","","","","","","","","","",""
"Paris","FR","Ile-de-France","city","95","1","unverified – check Park4Night","3","","","","","","","","","","","","","",""
"Amsterdam","NL","North Holland","city","95","1","unverified – check Park4Night","3","","","","","","","","","","","","","",""
"Ölüdeniz","TR","Muğla","beach","95","3","Best option: Ölüdeniz Camping – €20/night, beachfront, 100m to lagoon. Alternative: Sugar Beach Club camping area. Wild camping: illegal and enforced, especially near beach areas","2","","Turquoise lagoon with calm shallow waters perfect for swimming and paragliding launch point","May-June and September-October for fewer crowds and good weather","July-August tourist invasion, expensive beach clubs, jellyfish in late summer","","","","","","","","","",""
"Kyiv","UA","null","city","95","3","Best option: Camping recommendations suspended due to ongoing conflict – check current security situation. Wild camping: not advisable under current circumstances","3","","Currently under active war conditions with frequent air raid sirens, curfews, and infrastructure attacks - not accessible for tourism.","Not recommended","Always: active war zone since Feb 2022","","","","","","","","","",""
"Ottawa","CA","Ontario","city","95","2","Best option: Capital City RV Park – CAD $50-65/night, full hookups, 15km from Parliament Hill
Alternative: Walmart Bells Corners – overnight tolerated but check current policy
Wild camping: illegal in city limits, strict enforcement","2","","The Rideau Canal becomes the world's largest skating rink in winter - 7.8km of maintained ice surface where locals commute to work on skates and buy hot chocolate from vendors on the ice.","Jan–Mar & May–Oct","Nov & Apr: canal not frozen enough for skating, too cold for other activities","","","","","","","","","",""
"Brussels","BE","Brussels-Capital","city","95","3","Best option: Brussels City Camp – €25/night, metro connection, 8km from center. Alternative: Camping Grimbergen – cheaper but further out. Wild camping: illegal and strictly enforced","1","","Home to a 2-foot-tall bronze statue of a peeing boy (Manneken Pis) that gets dressed in different costumes 130+ times per year, with a wardrobe of over 1000 outfits including Elvis and Superman costumes.","Apr–Oct","Nov–Feb: constant drizzle, many outdoor markets closed","","","","","","","","","",""
"Reynisfjara","IS","null","beach","95","3","Best option: Vík Camping – €25/night, heated facilities, 2km from black beach. Alternative: roadside parking areas exist but exposed. Wild camping: legal but extremely windy, must be self-contained","1","","Dramatic black volcanic sand with basalt columns and powerful sneaker waves","June-August for accessibility, but weather always unpredictable","Deadly sneaker waves that kill tourists regularly, hypothermia risk, icy conditions","","","","","","","","","",""
"Colmar","FR","Grand Est","medium_town","95","3","Best option: Aire de Colmar – €12/night, services included, 1.5km to old town. Alternative: Camping L'Ill – larger site with pool. Wild camping: illegal and enforced in Alsace","1","","The inspiration for the village in Disney's Beauty and the Beast, this Alsatian town has 16th-century half-timbered houses so perfectly preserved that locals still use medieval guild signs to identify businesses.","Apr–Oct","Dec: Christmas market crowds make the tiny old town completely impassable","","","","","","","","","",""
"Dublin","IE","County Dublin","city","95","3","Best option: Camac Valley Tourist Caravan Park – €35/night, bus to city, 12km from center. Alternative: North Beach Caravan Park – coastal but further. Wild camping: illegal and strictly enforced","1","","The Guinness Storehouse uses 45,000 pints worth of barley annually just for their tasting room, while the original lease for the St. James's Gate brewery was signed for 9,000 years at £45 per year.","May–Sept","St. Patrick's Day week: hotel prices triple, streets unusable due to crowds","","","","","","","","","",""
"Chisinau","MD","Chișinău","city","95","2","Best option: Hotel parking arrangements – negotiate directly, varies €5-10/night
Alternative: Supermarket lots outside city
Wild camping: tolerated in rural areas but avoid city centre, mixed enforcement","3","","Home to the world's largest wine cellars - Mileștii Mici stretches 200km underground and stores 2 million bottles, so vast that visitors tour by car through the tunnels.","May–Oct","Dec–Feb: many wine cellars close for tours, heating issues in Soviet-era buildings","","","","","","","","","",""
"Tirana","AL","Tirana County","city","95","2","Best option: Camping Tirana – €12-18/night, basic facilities, 10km from centre
Alternative: Hotel parking with permission
Wild camping: tolerated outside city but locals may approach, inconsistent enforcement","3","","Former mayor and current PM Edi Rama painted communist-era buildings in wild rainbow colors as therapy for post-dictatorship trauma - the city now has Europe's most colorful brutal architecture.","May–Oct","Jul–Aug: 40°C+ heat with no air conditioning in most older buildings","","","","","","","","","",""
"Ankara","TR","Ankara","city","95","2","Best option: Mocamp facilities or hotel parking – arrange directly, €10-20/night
Alternative: Petrol stations on city outskirts
Wild camping: illegal in city, tolerated in rural areas with caution","3","","The ancient Angora goats that gave the city its name still roam the surrounding hills, and their ultra-fine mohair was once worth more than gold - a single high-quality fleece could buy a house.","Apr–Jun & Sept–Oct","Jul–Aug: plateau location means 35°C+ heat with no coastal relief","","","","","","","","","",""
"Warsaw","PL","Masovian Voivodeship","city","95","3","Best option: Camping Majawa 123 – €18/night, tram connection, 15km from center. Alternative: Wild Island camping – unverified, check Park4Night. Wild camping: tolerated in some areas but police may check","2","","After 85% destruction in WWII, the Old Town was rebuilt brick-by-brick using 18th-century paintings by Canaletto as blueprints - making it both a UNESCO site and technically a 1950s replica.","May–Sept","Dec–Feb: temperatures drop to -15°C, many outdoor attractions inaccessible","","","","","","","","","",""
"Copenhagen","DK","Capital","city","95","3","Best option: DCU Camping Bellahøj – €40/night, metro access, 8km from center. Alternative: Charlottenlund Fort Camping – seaside location. Wild camping: illegal and enforced","1","","Freetown Christiania operates as a semi-autonomous commune since 1971 where cannabis sales happen openly on 'Pusher Street' and cars are banned - it's Europe's weirdest legal gray zone.","May–Sept","Dec–Feb: only 7 hours of daylight, outdoor activities impossible","","","","","","","","","",""
"Bucharest","RO","Bucharest","city","95","2","Best option: Camping Bucharest – €15-25/night, guarded, 12km from Old Town
Alternative: Shopping centre lots (Kaufland/Carrefour) with permission
Wild camping: illegal in city, enforcement increasing","2","","Ceaușescu's Palace of Parliament is the world's second-largest administrative building after the Pentagon, with 3,100 rooms and 12 stories underground including nuclear bunkers and a metro station.","Apr–Oct","Dec–Feb: heavy smog from heating systems, many attractions have reduced hours","","","","","","","","","",""
"Lake Lucerne","CH","Lucerne","nature_reserve","94","3","Best option: TCS Camping Lido Luzern – €55/night, lakeside, walking distance to city. Alternative: Camping Seeblick – cheaper option in Horw. Wild camping: illegal and heavily fined","1","","Cruciform lake surrounded by dramatic Alpine peaks and historic steamers","May-October for boat services, September for golden light","Summer cruise ship crowds, expensive everything, tourist traps","","","","","","","","","",""
"Chiemsee","DE","Bavaria","nature_reserve","94","3","Best option: Wohnmobilstellplatz Seebruck – €18/night, lake access, harbor area. Alternative: Camping Chieming – larger site with facilities. Wild camping: illegal around lake, enforced","1","","Largest lake in Bavaria with Herrenchiemsee Palace on island","May-September for swimming and sailing","Weekend crowds, limited island ferry schedule, tourist palace prices","","","","","","","","","",""
"Tegernsee","DE","Bavaria","nature_reserve","94","3","Best option: Wohnmobilstellplatz Bad Wiessee – €20/night, thermal baths nearby, lakeside. Alternative: Camping Abwinkl – mountain views but pricier. Wild camping: illegal and strictly enforced","1","","Pristine Bavarian Alpine lake with traditional beer gardens","May-September for swimming, October for autumn colors","Weekend Munich exodus, expensive lakefront dining, parking chaos","","","","","","","","","",""
"Wolfgangsee","AT","Salzburg","nature_reserve","94","3","Best option: Camping Berau – €28/night, direct lake access, St. Gilgen area. Alternative: Stellplatz Strobl – municipal spot, basic facilities. Wild camping: illegal and fined heavily","1","","Historic lake featured in Sound of Music with cog railway access","May-September for swimming, early morning for reflections","Sound of Music tour groups, weekend crowds, overpriced St. Wolfgang","","","","","","","","","",""
"Abraham Lake","CA","Alberta","nature_reserve","94","3","Best option: David Thompson Resort RV sites – €45/night, mountain views, full hookups. Alternative: backcountry camping with permits required. Wild camping: legal on Crown land but harsh winter conditions","2","","Artificial reservoir famous for frozen methane bubbles in winter","December-March for bubble formations, requires winter gear","Summer when it's just a plain reservoir, dangerous winter ice conditions","","","","","","","","","",""
"Achensee","AT","Tyrol","nature_reserve","94","3","Best option: Camping Schwarzenau – €30/night, lakefront, Pertisau area. Alternative: Stellplatz Maurach – basic municipal spot. Wild camping: illegal and enforced by local police","1","","Austria's largest lake, crystal-clear glacial waters reaching 133m depth with dramatic Karwendel mountain backdrop","May-September for hiking access, September for fewer crowds and autumn colors","July-August peak tourist season, winter road closures to higher viewpoints","","","","","","","","","",""
"Lake Como","IT","Lombardy","nature_reserve","94","3","Best option: Area Sosta Camper Como – €25/night, city edge, funicular nearby. Alternative: Camping Villa Doria – lakeside in Menaggio. Wild camping: illegal and heavily fined","1","","Y-shaped glacial lake with 170km shoreline, deepest point 410m, surrounded by luxury villas and dramatic Alpine peaks","April-May and September-October for mild weather and fewer crowds","July-August extreme crowds and heat, Christmas-February many hotels closed","","","","","","","","","",""
"Zell am See","AT","Salzburg","nature_reserve","94","3","Best option: Camping Prielau – €35/night, lakeside luxury, walking to center. Alternative: Stellplatz Seecamping – municipal spot, basic. Wild camping: illegal and strictly enforced","1","","Alpine lake at 757m elevation with year-round access, glacier-fed waters below 3000m+ peaks including Kitzsteinhorn","June-September for swimming and hiking, December-March for winter sports","July-August peak season, Easter week crowds","","","","","","","","","",""
"Deadwood","US","South Dakota","village","93","3","Best option: Deadwood KOA – $65/night, full hookups, shuttle to town. Alternative: Whistler Gulch RV Park – casino parking available. Wild camping: legal on National Forest land outside town","1","","Wild Bill Hickok was shot dead here holding aces and eights (now called the 'dead man's hand'), and his original grave is still the most visited spot in town - locals reenact his murder daily at 4pm.","May–Sept","Oct–Apr: most historic sites closed, temperatures can hit -30°F","","","","","","","","","",""
"Bad Gastein","AT","Salzburg","village","93","3","Best option: Camping Pyhrn-Priel – €25/night, thermal access, valley location. Alternative: overflow parking at thermal hotels (ask permission). Wild camping: illegal and enforced in spa zones","2","","This Alpine spa town pumps naturally radioactive radon water through hotel taps - guests literally bathe in mild radiation that's supposedly therapeutic, a practice banned in most countries.","Dec–Mar & Jun–Sept","Apr–May & Oct–Nov: ski lifts closed, hiking trails muddy, many hotels shut","","","","","","","","","",""
